Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SPY,10/10/2003,104.57,101.83,99.73,2.11,2.00,64.27,63.12
SPY,17/10/2003,104.26,102.27,100.16,2.12,2.01,63.38,62.73
SPY,24/10/2003,103.58,102.51,100.48,2.03,2.01,61.39,61.52
SPY,31/10/2003,105.30,103.02,100.94,2.08,2.02,64.42,63.17
SPY,07/11/2003,105.61,103.49,101.39,2.10,2.03,64.95,63.68
SPY,14/11/2003,105.46,103.85,101.77,2.07,2.04,64.45,63.72
SPY,21/11/2003,104.21,103.91,102.01,1.91,2.02,60.31,63.10
SPY,28/11/2003,106.45,104.38,102.43,1.95,2.01,64.67,63.76
SPY,05/12/2003,106.85,104.83,102.85,1.97,2.01,65.40,63.96
SPY,12/12/2003,108.14,105.43,103.35,2.07,2.02,67.69,64.50
SPY,19/12/2003,108.90,106.06,103.88,2.18,2.04,68.99,65.41
SPY,26/12/2003,109.70,106.72,104.44,2.28,2.07,70.33,67.42
SPY,02/01/2004,111.23,107.54,105.08,2.46,2.12,72.76,69.03
SPY,09/01/2004,112.39,108.42,105.78,2.64,2.18,74.45,70.84
SPY,16/01/2004,114.23,109.48,106.58,2.89,2.27,76.89,72.68
SPY,23/01/2004,114.43,110.38,107.33,3.05,2.37,77.15,74.32
SPY,30/01/2004,113.48,110.94,107.92,3.03,2.45,73.05,74.86
SPY,06/02/2004,114.45,111.58,108.54,3.04,2.52,74.53,75.21
SPY,13/02/2004,115.13,112.23,109.17,3.06,2.59,75.54,75.43
SPY,20/02/2004,114.88,112.71,109.71,3.00,2.64,74.38,74.93
SPY,27/02/2004,115.02,113.13,110.22,2.91,2.68,74.61,74.42
SPY,05/03/2004,116.38,113.72,110.80,2.92,2.71,76.81,75.18
SPY,12/03/2004,112.58,113.51,110.97,2.54,2.68,60.98,72.47
SPY,19/03/2004,111.06,113.07,110.98,2.09,2.61,56.03,68.56
SPY,26/03/2004,111.03,112.70,110.99,1.71,2.50,55.94,64.88
SPY,02/04/2004,114.64,113.05,111.33,1.72,2.40,63.91,62.74
SPY,08/04/2004,114.37,113.29,111.62,1.67,2.31,63.00,59.97
SPY,16/04/2004,113.83,113.39,111.83,1.55,2.21,61.12,60.00
SPY,23/04/2004,114.36,113.56,112.07,1.49,2.12,62.30,61.25
SPY,30/04/2004,110.96,113.09,111.97,1.12,2.00,51.56,60.38
SPY,07/05/2004,109.96,112.52,111.78,0.75,1.84,48.91,57.38
SPY,14/05/2004,110.04,112.07,111.61,0.46,1.67,49.13,54.60
SPY,21/05/2004,109.81,111.66,111.44,0.22,1.49,48.47,52.08
SPY,28/05/2004,112.86,111.88,111.57,0.30,1.34,56.70,50.95
SPY,04/06/2004,112.98,112.08,111.71,0.37,1.22,56.98,52.04
SPY,10/06/2004,114.35,112.49,111.96,0.53,1.13,60.23,54.30
SPY,18/06/2004,113.63,112.70,112.12,0.58,1.06,57.78,56.03
