Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SET50,30/04/2009,346.81,319.76,321.87,-2.11,-17.05,53.58,46.52
SET50,07/05/2009,374.94,329.79,326.93,2.87,-14.56,61.06,50.42
SET50,15/05/2009,380.02,338.92,331.98,6.94,-11.87,62.24,54.10
SET50,22/05/2009,394.21,348.98,337.91,11.07,-9.00,65.37,58.26
SET50,29/05/2009,398.36,357.96,343.67,14.29,-6.09,66.25,61.70
SET50,05/06/2009,434.11,371.80,352.28,19.52,-2.89,72.65,65.52
SET50,12/06/2009,454.61,386.86,362.03,24.83,0.57,75.50,68.40
SET50,19/06/2009,423.47,393.51,367.88,25.64,3.71,64.54,68.86
SET50,26/06/2009,429.43,400.04,373.74,26.30,6.53,65.57,68.90
SET50,03/07/2009,418.52,403.40,378.00,25.40,8.89,62.05,68.06
SET50,10/07/2009,403.69,403.46,380.45,23.00,10.65,57.55,65.04
SET50,17/07/2009,428.32,407.98,385.01,22.97,12.19,62.40,62.42
SET50,24/07/2009,442.12,414.18,390.45,23.74,13.64,64.82,62.48
SET50,31/07/2009,449.91,420.68,396.11,24.57,15.00,66.13,62.59
SET50,07/08/2009,467.05,429.11,402.87,26.24,16.41,68.87,63.95
SET50,14/08/2009,473.31,437.15,409.58,27.57,17.80,69.83,66.41
SET50,21/08/2009,462.83,441.82,414.65,27.17,18.97,66.18,67.17
SET50,28/08/2009,470.69,447.07,419.99,27.08,19.99,67.54,67.71
SET50,04/09/2009,477.03,452.51,425.42,27.10,20.88,68.64,68.21
SET50,11/09/2009,508.20,462.64,433.30,29.34,21.93,73.35,69.11
SET50,18/09/2009,510.85,471.40,440.69,30.72,23.03,73.71,69.89
SET50,25/09/2009,514.76,479.29,447.74,31.54,24.10,74.26,71.50
SET50,02/10/2009,517.83,486.30,454.42,31.88,25.07,74.71,72.94
SET50,09/10/2009,534.30,495.02,462.03,33.00,26.06,77.00,74.61
SET50,16/10/2009,512.09,498.13,466.79,31.33,26.72,68.10,73.56
SET50,22/10/2009,503.40,499.09,470.28,28.81,26.98,64.95,71.80
SET50,30/10/2009,483.67,496.28,471.55,24.73,26.70,58.39,68.63
SET50,06/11/2009,493.10,495.70,473.61,22.10,26.12,60.44,65.77
SET50,13/11/2009,491.75,494.98,475.33,19.65,25.31,59.98,62.37
SET50,20/11/2009,487.00,493.53,476.45,17.09,24.29,58.34,60.42
SET50,27/11/2009,476.19,490.38,476.42,13.96,22.99,54.67,58.36
SET50,04/12/2009,492.55,490.77,477.96,12.82,21.72,58.86,58.46
SET50,11/12/2009,494.44,491.44,479.53,11.91,20.50,59.33,58.24
SET50,18/12/2009,503.29,493.60,481.79,11.80,19.41,61.51,58.54
SET50,25/12/2009,517.01,497.85,485.14,12.71,18.57,64.66,59.81
SET50,30/12/2009,520.69,502.00,488.53,13.47,17.93,65.47,61.96
SET50,08/01/2010,523.70,505.95,491.88,14.07,17.45,66.15,63.42
SET50,15/01/2010,527.85,509.93,495.31,14.63,17.10,67.11,64.98
SET50,22/01/2010,502.42,508.57,495.98,12.58,16.53,56.58,64.00
SET50,29/01/2010,490.77,505.33,495.49,9.84,15.70,52.54,61.57
SET50,05/02/2010,485.43,501.71,494.53,7.18,14.63,50.76,58.63
SET50,12/02/2010,489.73,499.53,494.07,5.46,13.49,52.16,55.83
SET50,19/02/2010,490.95,497.97,493.77,4.20,12.33,52.57,52.92
SET50,26/02/2010,507.68,499.74,495.10,4.64,11.37,57.87,53.18
SET50,05/03/2010,509.06,501.43,496.43,5.00,10.57,58.28,54.33
SET50,12/03/2010,517.84,504.42,498.47,5.95,9.99,60.89,56.35
SET50,19/03/2010,548.15,512.37,503.20,9.17,9.89,68.24,59.57
SET50,26/03/2010,550.29,519.26,507.68,11.58,10.10,68.68,62.79
SET50,02/04/2010,568.36,528.19,513.46,14.73,10.68,72.21,65.66
SET50,09/04/2010,559.70,533.92,517.87,16.05,11.35,68.26,67.66
SET50,16/04/2010,518.43,531.10,517.92,13.18,11.58,53.38,66.15
SET50,23/04/2010,532.83,531.42,519.34,12.08,11.64,56.89,63.89
SET50,30/04/2010,538.93,532.78,521.21,11.58,11.63,58.32,61.81
SET50,07/05/2010,541.56,534.38,523.14,11.23,11.58,58.95,59.16
SET50,14/05/2010,539.08,535.23,524.66,10.57,11.46,58.06,57.12
SET50,19/05/2010,536.16,535.40,525.76,9.64,11.23,56.99,57.84
SET50,27/05/2010,514.05,531.52,524.64,6.88,10.69,49.53,56.37
SET50,04/06/2010,538.27,532.75,525.94,6.81,10.20,56.25,55.96
SET50,11/06/2010,533.76,532.93,526.68,6.25,9.71,54.79,55.13
SET50,18/06/2010,548.62,535.78,528.77,7.01,9.37,58.58,55.23
SET50,25/06/2010,547.63,537.94,530.57,7.37,9.12,58.23,55.48
SET50,02/07/2010,550.71,540.26,532.49,7.77,8.95,59.04,57.38
SET50,09/07/2010,560.33,543.91,535.14,8.77,8.93,61.54,58.44
SET50,16/07/2010,561.52,547.11,537.65,9.46,8.99,61.84,59.85
SET50,23/07/2010,570.66,551.39,540.80,10.60,9.20,64.21,60.97
SET50,30/07/2010,583.83,557.29,544.89,12.40,9.60,67.33,62.79
SET50,06/08/2010,596.27,564.38,549.79,14.59,10.22,69.98,64.98
SET50,11/08/2010,585.73,568.26,553.21,15.05,10.82,65.18,65.71
SET50,20/08/2010,610.28,575.90,558.65,17.25,11.63,70.27,67.39
SET50,27/08/2010,611.43,582.36,563.67,18.69,12.51,70.48,68.65
SET50,03/09/2010,637.42,592.37,570.70,21.67,13.66,74.91,70.16
SET50,10/09/2010,635.62,600.23,576.88,23.36,14.87,74.08,70.98
SET50,17/09/2010,632.74,606.14,582.20,23.95,16.00,72.71,72.49
SET50,24/09/2010,654.87,615.00,589.12,25.88,17.24,76.32,73.70
SET50,01/10/2010,676.23,626.14,597.42,28.72,18.67,79.17,75.44
SET50,08/10/2010,666.06,633.39,603.95,29.44,20.02,74.59,75.38
SET50,15/10/2010,692.32,644.11,612.37,31.74,21.48,78.09,76.18
SET50,22/10/2010,686.13,651.75,619.39,32.35,22.84,75.47,76.73
SET50,29/10/2010,677.52,656.43,624.93,31.50,23.93,71.86,75.84
SET50,05/11/2010,726.09,669.10,634.56,34.53,25.25,78.17,75.64
SET50,12/11/2010,706.72,675.94,641.44,34.50,26.41,71.34,74.99
SET50,19/11/2010,701.41,680.57,647.15,33.42,27.28,69.55,73.28
SET50,26/11/2010,688.30,681.98,651.07,30.91,27.74,65.24,71.23
SET50,03/12/2010,721.50,689.16,657.78,31.39,28.19,70.25,70.91
SET50,09/12/2010,721.88,695.11,663.88,31.23,28.57,70.30,69.33
SET50,17/12/2010,712.13,698.21,668.48,29.73,28.72,67.05,68.48
SET50,24/12/2010,711.65,700.65,672.59,28.06,28.64,66.88,67.94
SET50,30/12/2010,720.19,704.20,677.12,27.08,28.44,68.35,68.57
SET50,07/01/2011,721.31,707.31,681.33,25.98,28.13,68.55,68.23
SET50,14/01/2011,717.03,709.08,684.73,24.35,27.66,66.85,67.54
SET50,21/01/2011,698.12,707.09,686.00,21.08,26.84,59.85,66.10
SET50,28/01/2011,681.45,702.43,685.57,16.85,25.59,54.46,63.61
