Ticker,Date/Time,Price,EMA1,EMA2,MACD,SIGNAL,RSI,RSI-MA
SET50,22/05/2017,987.38,986.34,989.23,-2.89,-1.49,46.51,40.96
SET50,23/05/2017,990.69,987.13,989.37,-2.24,-1.58,50.46,42.86
SET50,24/05/2017,991.62,987.94,989.58,-1.64,-1.59,51.54,45.10
SET50,25/05/2017,992.43,988.76,989.85,-1.09,-1.53,52.50,48.11
SET50,26/05/2017,991.97,989.34,990.05,-0.71,-1.43,51.87,50.57
SET50,29/05/2017,991.87,989.80,990.23,-0.42,-1.30,51.73,51.62
SET50,30/05/2017,991.49,990.11,990.35,-0.24,-1.17,51.15,51.76
SET50,31/05/2017,986.08,989.38,989.94,-0.56,-1.09,43.70,50.19
SET50,01/06/2017 10:00:00,987.79,989.09,989.74,-0.65,-1.04,46.35,48.96
SET50,02/06/2017 09:00:00,990.22,989.29,989.78,-0.49,-0.97,49.93,48.57
SET50,05/06/2017 09:00:00,988.36,989.12,989.65,-0.52,-0.91,47.34,47.69
SET50,06/06/2017 09:00:00,990.04,989.29,989.68,-0.39,-0.85,49.86,47.43
SET50,07/06/2017 09:00:00,987.95,989.05,989.52,-0.47,-0.80,46.87,48.07
SET50,08/06/2017 09:00:00,990.74,989.35,989.64,-0.28,-0.74,51.06,49.01
SET50,09/06/2017 09:00:00,987.52,989.02,989.43,-0.41,-0.70,46.52,48.33
SET50,12/06/2017 09:00:00,984.87,988.27,989.00,-0.73,-0.70,43.14,47.49
SET50,13/06/2017 09:00:00,991.24,988.81,989.21,-0.41,-0.66,52.11,47.94
SET50,14/06/2017 09:00:00,993.15,989.60,989.59,0.01,-0.58,54.42,49.45
SET50,15/06/2017 09:00:00,989.58,989.59,989.59,0.01,-0.51,49.62,49.16
SET50,16/06/2017 09:00:00,992.10,990.05,989.83,0.22,-0.41,52.77,50.41
SET50,19/06/2017 09:00:00,995.90,991.11,990.40,0.71,-0.27,57.10,53.21
SET50,20/06/2017 09:00:00,994.52,991.73,990.80,0.94,-0.12,55.14,53.81
SET50,21/06/2017 09:00:00,992.70,991.91,990.98,0.93,0.01,52.58,53.44
SET50,22/06/2017 09:00:00,994.96,992.46,991.36,1.11,0.15,55.33,54.58
SET50,23/06/2017 09:00:00,996.26,993.15,991.82,1.33,0.29,56.88,55.41
SET50,26/06/2017 09:00:00,997.44,993.93,992.36,1.57,0.45,58.28,55.64
SET50,27/06/2017 09:00:00,999.60,994.96,993.05,1.91,0.64,60.79,56.77
SET50,28/06/2017 09:00:00,997.33,995.39,993.46,1.94,0.80,56.94,57.64
SET50,29/06/2017 09:00:00,995.10,995.34,993.61,1.73,0.92,53.38,57.25
SET50,30/06/2017 09:00:00,994.35,995.16,993.68,1.48,0.99,52.21,56.32
SET50,03/07/2017 09:00:00,999.16,995.89,994.20,1.68,1.07,58.49,56.36
SET50,04/07/2017 09:00:00,995.39,995.80,994.32,1.48,1.12,52.67,54.74
SET50,05/07/2017 09:00:00,996.08,995.85,994.49,1.36,1.15,53.58,54.07
SET50,06/07/2017 09:00:00,993.69,995.46,994.41,1.05,1.14,50.03,53.40
SET50,07/07/2017 09:00:00,992.88,994.99,994.26,0.72,1.09,48.86,52.73
SET50,11/07/2017 10:00:00,991.95,994.44,994.04,0.39,1.00,47.48,50.52
SET50,12/07/2017 09:00:00,996.09,994.74,994.24,0.50,0.94,53.69,50.73
SET50,13/07/2017 09:00:00,999.35,995.57,994.73,0.85,0.93,57.88,51.59
SET50,14/07/2017 09:00:00,999.30,996.25,995.16,1.09,0.95,57.80,53.14
SET50,17/07/2017 09:00:00,996.76,996.34,995.31,1.03,0.96,53.47,54.06
SET50,18/07/2017 09:00:00,996.25,996.33,995.40,0.92,0.95,52.62,55.09
SET50,19/07/2017 09:00:00,1000.22,997.04,995.86,1.17,0.98,58.15,55.99
SET50,20/07/2017 09:00:00,998.59,997.32,996.12,1.20,1.01,55.31,55.47
SET50,21/07/2017 09:00:00,998.19,997.48,996.32,1.16,1.03,54.61,54.83
SET50,24/07/2017 09:00:00,1000.91,998.10,996.76,1.35,1.07,58.45,55.83
SET50,25/07/2017 09:00:00,1005.53,999.45,997.59,1.86,1.17,63.99,58.11
SET50,26/07/2017 09:00:00,1007.28,1000.87,998.51,2.36,1.32,65.84,59.64
SET50,27/07/2017 09:00:00,1007.08,1002.00,999.33,2.67,1.49,65.43,61.67
SET50,31/07/2017 10:00:00,1003.96,1002.36,999.77,2.59,1.62,59.24,62.59
SET50,01/08/2017 09:00:00,1002.77,1002.43,1000.06,2.38,1.72,57.04,62.31
SET50,02/08/2017 09:00:00,1004.88,1002.88,1000.52,2.36,1.80,59.88,61.49
SET50,03/08/2017 09:00:00,1002.69,1002.84,1000.72,2.12,1.84,55.78,59.47
SET50,04/08/2017 09:00:00,1002.19,1002.73,1000.86,1.86,1.84,54.86,57.36
SET50,07/08/2017 09:00:00,999.79,1002.19,1000.76,1.43,1.79,50.58,55.63
SET50,08/08/2017 09:00:00,1002.40,1002.23,1000.92,1.31,1.73,54.70,55.16
SET50,09/08/2017 09:00:00,999.47,1001.73,1000.78,0.95,1.63,49.72,53.13
SET50,10/08/2017 09:00:00,1000.34,1001.48,1000.74,0.74,1.52,51.13,52.20
SET50,11/08/2017 09:00:00,995.06,1000.31,1000.20,0.11,1.34,43.22,49.87
SET50,15/08/2017 09:00:00,999.16,1000.10,1000.10,0.00,1.18,49.70,49.69
SET50,16/08/2017 09:00:00,998.51,999.81,999.95,-0.14,1.01,48.75,48.50
SET50,17/08/2017 09:00:00,997.78,999.44,999.74,-0.30,0.85,47.66,48.09
SET50,18/08/2017 09:00:00,996.70,998.94,999.45,-0.51,0.68,46.03,47.07
SET50,21/08/2017 09:00:00,999.27,999.00,999.43,-0.43,0.54,50.36,48.50
SET50,22/08/2017 09:00:00,1001.85,999.52,999.66,-0.14,0.46,54.31,49.42
SET50,23/08/2017 09:00:00,1001.51,999.88,999.84,0.04,0.40,53.70,50.41
SET50,24/08/2017 09:00:00,1003.56,1000.55,1000.19,0.36,0.40,56.80,52.24
SET50,25/08/2017 10:00:00,1003.17,1001.03,1000.48,0.55,0.42,56.04,54.24
SET50,28/08/2017 09:00:00,1010.57,1002.76,1001.44,1.32,0.53,65.48,57.27
SET50,29/08/2017 09:00:00,1034.76,1008.58,1004.61,3.97,0.96,80.30,62.47
SET50,30/08/2017 09:00:00,1034.65,1013.32,1007.47,5.85,1.57,80.13,67.75
SET50,31/08/2017 09:00:00,1034.29,1017.13,1010.03,7.11,2.26,79.55,72.30
SET50,01/09/2017 10:00:00,1033.85,1020.17,1012.30,7.88,2.96,78.80,76.85
SET50,04/09/2017 09:00:00,1033.90,1022.67,1014.35,8.32,3.63,78.82,79.52
SET50,05/09/2017 09:00:00,1033.79,1024.69,1016.20,8.49,4.24,78.61,79.18
SET50,06/09/2017 09:00:00,1033.92,1026.37,1017.89,8.48,4.77,78.68,78.89
SET50,07/09/2017 09:00:00,1041.78,1029.17,1020.17,9.00,5.30,82.53,79.49
SET50,08/09/2017 09:00:00,1046.26,1032.28,1022.65,9.63,5.84,84.27,80.58
SET50,11/09/2017 09:00:00,1047.31,1035.01,1025.00,10.01,6.36,84.65,81.75
SET50,12/09/2017 09:00:00,1050.24,1037.78,1027.40,10.38,6.86,85.69,83.16
SET50,13/09/2017 09:00:00,1049.16,1039.85,1029.48,10.37,7.30,83.46,84.12
SET50,14/09/2017 10:00:00,1062.29,1043.93,1032.60,11.33,7.81,87.65,85.14
SET50,15/09/2017 09:00:00,1064.27,1047.63,1035.62,12.01,8.33,88.14,85.92
SET50,18/09/2017 09:00:00,1074.16,1052.45,1039.29,13.16,8.93,90.20,87.03
SET50,19/09/2017 09:00:00,1075.89,1056.71,1042.77,13.94,9.56,90.51,87.99
SET50,20/09/2017 09:00:00,1072.61,1059.60,1045.62,13.99,10.11,85.05,88.31
SET50,21/09/2017 09:00:00,1070.39,1061.56,1047.97,13.59,10.55,81.49,87.08
SET50,22/09/2017 09:00:00,1061.16,1061.49,1049.23,12.26,10.76,68.68,83.19
SET50,25/09/2017 09:00:00,1067.41,1062.57,1050.96,11.61,10.87,71.89,79.52
SET50,26/09/2017 09:00:00,1069.07,1063.75,1052.69,11.06,10.89,72.68,75.96
SET50,27/09/2017 09:00:00,1070.45,1064.97,1054.38,10.59,10.85,73.35,73.62
SET50,28/09/2017 09:00:00,1066.16,1065.18,1055.50,9.68,10.71,67.80,70.88
SET50,29/09/2017 09:00:00,1068.92,1065.86,1056.78,9.09,10.51,69.40,71.02
SET50,02/10/2017 09:00:00,1081.51,1068.71,1059.13,9.57,10.39,75.37,71.72
