Price,EMA1,MACD,RSI
201.85,201.24,1.65,56.48
205.26,201.97,1.84,62.59
207.51,202.98,2.15,65.97
207.0,203.71,2.29,64.56
206.6,204.23,2.32,63.41
208.95,205.09,2.51,67.09
208.83,205.77,2.59,66.72
207.93,206.16,2.53,63.91
210.39,206.93,2.66,67.87
211.0,207.67,2.76,68.78
210.36,208.16,2.73,66.66
210.15,208.52,2.64,65.94
210.04,208.8,2.52,65.55
208.08,208.67,2.22,58.83
208.56,208.65,2.0,59.91
207.74,208.48,1.73,57.17
204.84,207.82,1.25,48.72
202.54,206.86,0.67,43.29
205.62,206.63,0.5,51.11
205.47,206.42,0.35,50.74
208.73,206.84,0.52,57.77
208.55,207.15,0.62,57.29
209.31,207.55,0.74,58.85
209.07,207.82,0.81,58.13
209.35,208.1,0.86,58.76
209.32,208.32,0.89,58.66
209.56,208.55,0.91,59.26
208.69,208.57,0.83,56.09
210.68,208.96,0.94,61.18
208.53,208.88,0.81,53.95
205.61,208.28,0.45,46.03
209.62,208.53,0.52,55.61
208.35,208.49,0.46,52.45
206.95,208.21,0.28,49.15
205.34,207.69,0.01,45.62
205.87,207.36,-0.15,46.96
201.88,206.36,-0.61,39.15
202.9,205.73,-0.85,41.8
205.03,205.61,-0.83,46.97
208.03,206.05,-0.54,53.24
204.86,205.83,-0.6,46.96
200.02,204.77,-1.04,39.36
201.67,204.21,-1.21,42.74
203.5,204.08,-1.16,46.3
206.02,204.43,-0.88,50.82
205.68,204.66,-0.69,50.21
205.21,204.76,-0.57,49.33
207.4,205.24,-0.29,53.4
205.93,205.37,-0.2,50.48
203.87,205.09,-0.31,46.66
201.02,204.35,-0.64,41.95
201.36,203.81,-0.84,42.69
198.82,202.9,-1.19,38.74
194.05,201.29,-1.84,32.67
191.92,199.59,-2.48,30.38
192.11,198.23,-2.89,30.85
193.66,197.4,-3.01,34.63
188.83,195.84,-3.46,29.28
191.93,195.13,-3.47,36.07
187.81,193.8,-3.78,31.73
188.06,192.76,-3.91,32.26
185.65,191.46,-4.16,29.87
186.69,190.6,-4.17,32.2
190.52,190.58,-3.78,40.05
187.64,190.05,-3.68,36.63
190.2,190.07,-3.31,41.39
188.13,189.72,-3.17,38.86
189.11,189.61,-2.92,40.7
193.72,190.36,-2.28,48.51
193.65,190.96,-1.78,48.4
190.16,190.81,-1.68,43.44
191.3,190.9,-1.48,45.4
191.6,191.03,-1.28,45.93
187.95,190.47,-1.42,40.79
185.42,189.55,-1.72,37.66
185.43,188.8,-1.92,37.68
185.27,188.16,-2.04,37.47
182.86,187.2,-2.3,34.4
186.63,187.09,-2.13,42.33
189.78,187.58,-1.7,47.96
192.88,188.54,-1.08,52.82
192.09,189.19,-0.67,51.5
192.0,189.7,-0.36,51.35
194.78,190.62,0.11,55.77
192.32,190.93,0.25,51.35
193.2,191.34,0.42,52.78
195.54,192.11,0.75,56.45
195.09,192.65,0.93,55.56
193.56,192.82,0.92,52.55
198.11,193.78,1.29,59.54
199.0,194.73,1.62,60.75
199.78,195.65,1.91,61.82
200.43,196.52,2.14,62.73
200.59,197.26,2.29,62.97
198.4,197.46,2.17,57.68
199.38,197.81,2.13,59.32
199.54,198.13,2.07,59.59
202.76,198.97,2.28,64.71
202.5,199.61,2.37,64.01
202.17,200.08,2.36,63.08
203.34,200.67,2.42,65.01
204.63,201.39,2.53,67.04
204.38,201.93,2.55,66.24
204.67,202.43,2.54,66.74
204.56,202.82,2.49,66.34
203.21,202.89,2.28,61.56
203.12,202.93,2.09,61.25
203.24,202.99,1.91,61.53
205.12,203.38,1.92,65.71
206.02,203.86,1.96,67.52
205.52,204.16,1.92,65.46
206.92,204.66,1.98,68.35
206.25,204.95,1.93,65.54
204.19,204.81,1.68,57.71
206.42,205.1,1.66,62.86
203.95,204.89,1.4,54.93
204.5,204.82,1.23,56.24
204.02,204.68,1.04,54.75
205.92,204.9,1.05,59.34
208.0,205.47,1.22,63.66
208.01,205.93,1.32,63.68
207.78,206.27,1.36,62.83
209.24,206.81,1.49,65.91
209.9,207.37,1.61,67.23
210.1,207.87,1.7,67.64
208.97,208.07,1.63,62.92
208.97,208.23,1.55,62.92
208.61,208.3,1.44,61.35
208.92,208.41,1.35,62.22
209.35,208.58,1.31,63.44
207.45,208.38,1.08,55.03
206.33,208.0,0.8,50.78
207.97,208.0,0.72,56.1
206.16,207.66,0.5,49.74
205.01,207.18,0.22,46.18
204.97,206.78,0.01,46.06
205.72,206.59,-0.09,48.8
205.89,206.46,-0.14,49.42
208.45,206.82,0.05,57.73
206.5,206.76,0.02,50.9
206.56,206.73,-0.0,51.09
204.76,206.37,-0.17,45.43
206.78,206.44,-0.12,51.85
204.85,206.15,-0.25,46.28
204.91,205.93,-0.33,46.47
204.2,205.61,-0.45,44.46
205.49,205.59,-0.42,48.77
205.21,205.52,-0.41,47.91
207.87,205.95,-0.17,55.88
209.28,206.55,0.14,59.41
209.34,207.06,0.36,59.55
210.24,207.64,0.6,61.78
209.84,208.04,0.74,60.2
210.27,208.44,0.86,61.34
210.91,208.89,0.99,63.03
210.28,209.15,1.02,60.25
211.35,209.55,1.11,63.2
211.68,209.93,1.19,64.08
212.37,210.38,1.29,65.91
212.08,210.69,1.31,64.43
210.07,210.57,1.13,55.25
208.45,210.19,0.84,49.19
208.04,209.8,0.58,47.77
207.75,209.43,0.34,46.75
208.37,209.23,0.22,49.24
206.52,208.74,-0.04,42.83
207.85,208.58,-0.11,48.04
208.44,208.55,-0.11,50.19
208.1,208.47,-0.14,48.94
210.81,208.9,0.08,57.91
203.24,207.87,-0.42,37.95
199.6,206.36,-1.1,32.23
203.2,205.79,-1.27,41.57
206.66,205.95,-1.07,48.83
209.48,206.59,-0.66,53.84
209.92,207.2,-0.31,54.58
208.41,207.42,-0.18,51.53
209.66,207.82,0.03,53.82
209.53,208.13,0.18,53.54
212.65,208.96,0.55,59.05
213.4,209.76,0.89,60.26
214.95,210.71,1.25,62.71
214.92,211.47,1.5,62.63
216.12,212.32,1.76,64.57
215.83,212.96,1.89,63.71
216.41,213.58,2.01,64.72
216.19,214.06,2.05,64.0
217.09,214.61,2.11,65.67
216.27,214.91,2.06,62.82
217.24,215.33,2.06,64.76
216.65,215.57,1.98,62.63
216.75,215.79,1.89,62.85
216.52,215.92,1.78,61.95
216.77,216.08,1.68,62.58
217.12,216.27,1.61,63.48
216.94,216.39,1.52,62.65
215.55,216.24,1.3,56.52
216.18,216.23,1.17,58.49
216.41,216.26,1.07,59.21
218.18,216.61,1.14,64.34
218.05,216.87,1.16,63.71
218.18,217.11,1.16,64.09
217.64,217.21,1.09,61.26
218.65,217.47,1.12,64.41
218.46,217.65,1.09,63.37
219.09,217.91,1.12,65.35
217.96,217.92,1.01,59.19
218.37,218.0,0.96,60.63
218.86,218.16,0.94,62.34
218.54,218.23,0.88,60.5
218.53,218.28,0.83,60.44
218.97,218.41,0.81,62.2
217.85,218.31,0.68,55.49
217.7,218.2,0.56,54.64
217.29,218.03,0.43,52.31
218.36,218.09,0.42,57.4
218.0,218.07,0.37,55.27
217.38,217.95,0.28,51.73
217.39,217.85,0.2,51.79
218.37,217.94,0.23,56.8
219.03,218.14,0.3,59.81
219.01,218.3,0.35,59.68
218.51,218.34,0.33,56.27
213.28,217.42,-0.14,34.32
216.34,217.22,-0.22,47.22
213.23,216.5,-0.54,38.9
213.15,215.89,-0.78,38.71
215.28,215.78,-0.76,46.14
213.37,215.34,-0.89,41.33
213.41,214.99,-0.98,41.46
213.42,214.7,-1.02,41.5
215.82,214.91,-0.83,49.6
217.18,215.32,-0.55,53.51
215.99,215.44,-0.44,49.88
214.24,215.22,-0.5,45.07
215.57,215.29,-0.42,49.07
216.64,215.53,-0.27,52.08
214.68,215.38,-0.31,46.67
216.3,215.55,-0.2,51.16
215.78,215.59,-0.17,49.72
214.68,215.42,-0.23,46.74
215.63,215.46,-0.19,49.54
215.78,215.52,-0.14,49.99
215.04,215.43,-0.17,47.76
216.16,215.56,-0.09,51.28
213.43,215.18,-0.27,43.61
213.71,214.91,-0.37,44.52
213.01,214.56,-0.5,42.67
213.12,214.3,-0.58,43.07
212.38,213.95,-0.69,41.02
213.71,213.91,-0.64,45.97
214.28,213.98,-0.55,47.98
213.88,213.96,-0.51,46.68
213.98,213.96,-0.46,47.06
214.89,214.13,-0.33,50.55
214.17,214.14,-0.3,47.88
213.74,214.07,-0.3,46.31
213.17,213.9,-0.35,44.25
212.54,213.66,-0.44,42.04
212.55,213.45,-0.49,42.09
211.01,213.01,-0.66,36.92
209.74,212.42,-0.88,33.3
208.78,211.75,-1.11,30.86
208.55,211.17,-1.28,30.29
213.15,211.53,-0.99,50.09
214.11,212.0,-0.67,53.07
216.38,212.8,-0.23,59.24
216.92,213.55,0.15,60.56
216.42,214.07,0.39,58.67
216.59,214.53,0.57,59.13
218.28,215.21,0.84,63.5
217.87,215.69,0.99,61.78
218.99,216.29,1.18,64.58
218.5,216.69,1.26,62.44
220.15,217.32,1.44,66.45
220.58,217.91,1.58,67.43
220.7,218.42,1.67,67.71
221.52,218.98,1.78,69.62
220.48,219.26,1.74,64.44
220.91,219.56,1.72,65.57
220.38,219.71,1.63,62.92
219.57,219.68,1.46,59.01
219.68,219.68,1.32,59.38
221.0,219.92,1.31,63.57
221.7,220.24,1.34,65.59
224.6,221.04,1.59,72.39
225.15,221.78,1.79,73.45
226.51,222.64,2.03,75.91
226.25,223.3,2.15,74.5
227.76,224.11,2.33,77.15
225.88,224.43,2.26,67.76
226.81,224.86,2.25,69.71
225.04,224.9,2.05,62.04
225.53,225.01,1.91,63.24
226.4,225.26,1.85,65.32
225.77,225.36,1.72,62.57
225.38,225.36,1.56,60.87
225.71,225.42,1.44,61.81
226.27,225.58,1.38,63.41
224.4,225.36,1.14,55.14
224.35,225.18,0.95,54.94
223.53,224.88,0.71,51.57
225.24,224.95,0.68,57.41
226.58,225.24,0.75,61.32
226.4,225.45,0.78,60.52
227.21,225.77,0.86,62.86
226.46,225.9,0.84,59.37
226.46,226.0,0.81,59.37
227.1,226.2,0.82,61.47
226.53,226.26,0.77,58.58
227.05,226.4,0.77,60.4
226.25,226.38,0.68,56.33
226.75,226.44,0.65,58.22
225.91,226.35,0.54,54.02
226.74,226.42,0.52,57.28
226.15,226.37,0.45,54.34
227.6,226.59,0.51,59.77
229.57,227.13,0.72,65.71
229.33,227.53,0.84,64.47
228.97,227.79,0.89,62.57
227.55,227.75,0.78,55.64
227.53,227.71,0.69,55.54
227.62,227.69,0.62,55.9
227.77,227.71,0.56,56.52
229.34,228.0,0.65,62.44
228.93,228.17,0.67,60.15
228.94,228.31,0.67,60.18
229.24,228.48,0.69,61.37
230.6,228.87,0.81,66.27
231.51,229.35,0.96,69.08
232.77,229.97,1.16,72.48
233.7,230.65,1.38,74.68
234.92,231.42,1.61,77.24
234.72,232.02,1.75,75.89
235.09,232.58,1.85,76.7
236.49,233.29,2.01,79.48
236.28,233.84,2.08,77.98
236.44,234.31,2.1,78.31
236.74,234.75,2.11,78.95
237.11,235.18,2.12,79.74
236.47,235.41,2.03,74.56
239.78,236.21,2.21,81.3
238.27,236.58,2.18,71.98
238.42,236.92,2.13,72.32
237.71,237.06,2.0,68.15
